grain,period,commits
month,2025-11,16
month,2025-12,19
month,2026-01,38
month,2026-02,56
month,2026-03,14
month,2026-04,44
month,2026-05,10
week,2025-W47,4
week,2025-W48,12
week,2025-W49,2
week,2025-W50,13
week,2025-W51,2
week,2025-W52,2
week,2026-W02,3
week,2026-W03,17
week,2026-W05,18
week,2026-W06,17
week,2026-W07,23
week,2026-W09,16
week,2026-W10,8
week,2026-W11,2
week,2026-W12,2
week,2026-W13,2
week,2026-W14,12
week,2026-W15,14
week,2026-W16,11
week,2026-W17,1
week,2026-W18,9
week,2026-W19,7
day,2025-11-21,2
day,2025-11-22,2
day,2025-11-24,4
day,2025-11-25,1
day,2025-11-27,1
day,2025-11-28,3
day,2025-11-29,3
day,2025-12-06,1
day,2025-12-07,1
day,2025-12-09,3
day,2025-12-10,2
day,2025-12-11,2
day,2025-12-12,3
day,2025-12-13,3
day,2025-12-15,2
day,2025-12-27,2
day,2026-01-06,2
day,2026-01-10,1
day,2026-01-12,1
day,2026-01-13,9
day,2026-01-15,7
day,2026-01-27,2
day,2026-01-29,4
day,2026-01-30,7
day,2026-01-31,5
day,2026-02-02,1
day,2026-02-05,6
day,2026-02-06,8
day,2026-02-07,2
day,2026-02-09,5
day,2026-02-10,3
day,2026-02-11,1
day,2026-02-12,8
day,2026-02-13,6
day,2026-02-23,5
day,2026-02-26,5
day,2026-02-27,3
day,2026-02-28,3
day,2026-03-05,2
day,2026-03-06,4
day,2026-03-07,2
day,2026-03-10,2
day,2026-03-18,2
day,2026-03-23,1
day,2026-03-26,1
day,2026-04-03,4
day,2026-04-04,8
day,2026-04-10,5
day,2026-04-11,8
day,2026-04-12,1
day,2026-04-16,6
day,2026-04-17,5
day,2026-04-24,1
day,2026-04-28,2
day,2026-04-29,3
day,2026-04-30,1
day,2026-05-01,2
day,2026-05-03,1
day,2026-05-04,1
day,2026-05-05,4
day,2026-05-09,2
